trial	choice	gain	loss	subjID
0	1	100	0	44725
1	2	100	0	44725
2	3	50	-75	44725
3	4	50	0	44725
4	1	100	0	44725
5	1	100	-300	44725
6	2	100	0	44725
7	3	50	-50	44725
8	4	50	0	44725
9	2	100	0	44725
10	2	100	0	44725
11	2	100	0	44725
12	2	100	0	44725
13	2	100	0	44725
14	2	100	0	44725
15	2	100	-1250	44725
16	2	100	0	44725
17	2	100	0	44725
18	2	100	0	44725
19	2	100	0	44725
20	2	100	0	44725
21	2	100	0	44725
22	2	100	0	44725
23	2	100	0	44725
24	2	100	0	44725
25	2	100	0	44725
26	2	100	-1250	44725
27	2	100	0	44725
28	2	100	0	44725
29	2	100	0	44725
30	2	100	0	44725
31	2	100	0	44725
32	2	100	0	44725
33	1	100	-150	44725
34	3	50	0	44725
35	1	100	0	44725
36	4	50	0	44725
37	3	50	-75	44725
38	3	50	0	44725
39	1	100	0	44725
40	4	50	0	44725
41	4	50	0	44725
42	4	50	-250	44725
43	3	50	-25	44725
44	3	50	-25	44725
45	3	50	0	44725
46	4	50	0	44725
47	1	100	0	44725
48	1	100	-250	44725
49	1	100	-200	44725
50	3	50	0	44725
51	3	50	0	44725
52	1	100	-350	44725
53	3	50	-50	44725
54	2	100	-1250	44725
55	3	50	-75	44725
56	3	50	0	44725
57	2	100	0	44725
58	2	100	0	44725
59	2	100	0	44725
60	2	100	0	44725
61	2	100	-1250	44725
62	1	100	0	44725
63	1	100	0	44725
64	1	100	-150	44725
65	1	100	-250	44725
66	1	100	-200	44725
67	1	100	0	44725
68	1	100	-350	44725
69	3	50	0	44725
70	3	50	-50	44725
71	4	50	0	44725
72	2	100	0	44725
73	2	100	0	44725
74	2	100	0	44725
75	2	100	0	44725
76	2	100	0	44725
77	3	50	-25	44725
78	3	50	-50	44725
79	3	50	0	44725
80	3	50	0	44725
81	3	50	0	44725
82	3	50	-50	44725
83	3	50	0	44725
84	3	50	-75	44725
85	3	50	-25	44725
86	3	50	0	44725
87	2	100	0	44725
88	2	100	0	44725
89	2	100	0	44725
90	2	100	0	44725
91	2	100	0	44725
92	2	100	0	44725
93	3	50	0	44725
94	3	50	0	44725
95	3	50	-75	44725
96	3	50	-25	44725
97	3	50	0	44725
98	2	100	0	44725
99	2	100	0	44725
0	5	50	-75	44725
1	5	50	-50	44725
2	5	50	0	44725
3	5	50	-75	44725
4	4	50	0	44725
5	4	50	0	44725
6	4	50	0	44725
7	4	50	-250	44725
8	3	50	-50	44725
9	3	50	-50	44725
10	3	50	0	44725
11	2	100	0	44725
12	2	100	0	44725
13	2	100	0	44725
14	2	100	-1250	44725
15	1	100	0	44725
16	1	100	-300	44725
17	1	100	0	44725
18	1	100	0	44725
19	1	100	0	44725
0	1	100	0	44734
1	3	50	-75	44734
2	2	100	0	44734
3	4	50	0	44734
4	3	50	-50	44734
5	1	100	0	44734
6	2	100	0	44734
7	3	50	0	44734
8	4	50	0	44734
9	1	100	-300	44734
10	3	50	-75	44734
11	2	100	0	44734
12	4	50	0	44734
13	3	50	0	44734
14	2	100	0	44734
15	1	100	-150	44734
16	4	50	0	44734
17	3	50	-25	44734
18	2	100	0	44734
19	1	100	0	44734
20	3	50	-25	44734
21	4	50	0	44734
22	2	100	0	44734
23	1	100	0	44734
24	3	50	0	44734
25	4	50	-250	44734
26	3	50	0	44734
27	2	100	0	44734
28	1	100	0	44734
29	3	50	0	44734
30	2	100	0	44734
31	4	50	0	44734
32	1	100	-250	44734
33	3	50	-50	44734
34	2	100	-1250	44734
35	4	50	0	44734
36	3	50	-75	44734
37	2	100	0	44734
38	1	100	-200	44734
39	3	50	0	44734
40	3	50	0	44734
41	3	50	-50	44734
42	2	100	0	44734
43	2	100	0	44734
44	2	100	0	44734
45	2	100	0	44734
46	2	100	0	44734
47	2	100	0	44734
48	2	100	0	44734
49	2	100	0	44734
50	2	100	0	44734
51	2	100	-1250	44734
52	2	100	0	44734
53	2	100	0	44734
54	2	100	0	44734
55	2	100	0	44734
56	2	100	0	44734
57	1	100	-350	44734
58	1	100	0	44734
59	1	100	0	44734
60	3	50	-25	44734
61	3	50	-50	44734
62	3	50	0	44734
63	4	50	0	44734
64	4	50	0	44734
65	4	50	0	44734
66	4	50	-250	44734
67	3	50	0	44734
68	3	50	0	44734
69	1	100	-150	44734
70	3	50	-50	44734
71	4	50	0	44734
72	2	100	0	44734
73	2	100	-1250	44734
74	2	100	0	44734
75	2	100	0	44734
76	2	100	0	44734
77	2	100	0	44734
78	3	50	0	44734
79	4	50	0	44734
80	1	100	-250	44734
81	3	50	-75	44734
82	1	100	-200	44734
83	4	50	0	44734
84	3	50	-25	44734
